date,time,brightness,altitude,azimuth,satellite,distance to flare centre,brightness at flare centre,sun altitude,city,country,latitude,longitude,
Mar 24, 17:55:03,-0.2,49°,10° (N),Iridium 70,32 km (W),-8.0,-13°,Kinshasa,Congo,-4.3,15.28,
Mar 25, 03:40:48,0.9,35°,355° (N),Iridium 82,38 km (E),-8.0,-21°,Kinshasa,Congo,-4.3,15.28,
Mar 25, 17:48:57,-1.0,49°,8° (N),Iridium 64,25 km (W),-8.0,-11°,Kinshasa,Congo,-4.3,15.28,
Mar 26, 17:42:52,-5.7,49°,9° (N),Iridium 67,6 km (E),-8.1,-10°,Kinshasa,Congo,-4.3,15.28,
Mar 27, 17:36:48,0.5,50°,10° (N),Iridium 72,40 km (E),-8.1,-8°,Kinshasa,Congo,-4.3,15.28,
Mar 24, 22:29:16,-1.5,38°,5° (N),Iridium 39,24 km (W),-7.7,-13°,Bangkok,Thailand,13.75,100.5,
Mar 25, 12:16:15,0.6,45°,4° (N),Iridium 75,41 km (W),-7.9,-12°,Bangkok,Thailand,13.75,100.5,
Mar 26, 12:10:07,-1.2,46°,3° (N),Iridium 14,23 km (W),-7.9,-11°,Bangkok,Thailand,13.75,100.5,
Mar 26, 22:38:01,0.2,39°,7° (N),Iridium 80,39 km (W),-7.6,-10°,Bangkok,Thailand,13.75,100.5,
Mar 27, 12:04:01,-4.4,47°,2° (N),Iridium 66,8 km (W),-7.9,-9°,Bangkok,Thailand,13.75,100.5,
Mar 28, 22:24:38,-0.9,35°,9° (N),Iridium 15,27 km (E),-7.4,-13°,Bangkok,Thailand,13.75,100.5,
Mar 29, 22:03:27,0.8,29°,1° (N),Iridium 39,50 km (W),-7.4,-18°,Bangkok,Thailand,13.75,100.5,
Mar 24, 08:58:21,0.3,48°,356° (N),Iridium 39,38 km (E),-8.1,-13°,Buenos Aires,Argentina,-34.58,-58.37,
Mar 24, 22:38:32,-0.3,57°,13° (NNE),Iridium 75,31 km (W),-8.2,-9°,Buenos Aires,Argentina,-34.58,-58.37,
Mar 25, 09:11:33,-4.9,48°,360° (N),Iridium 81,7 km (E),-8.0,-11°,Buenos Aires,Argentina,-34.58,-58.37,
Mar 25, 22:32:29,-3.2,56°,12° (NNE),Iridium 14,12 km (W),-8.2,-8°,Buenos Aires,Argentina,-34.58,-58.37,
Mar 26, 09:09:35,-0.7,47°,355° (N),Iridium 98,29 km (W),-8.0,-11°,Buenos Aires,Argentina,-34.58,-58.37,
Mar 26, 22:26:27,-7.7,56°,11° (N),Iridium 66,4 km (E),-8.2,-7°,Buenos Aires,Argentina,-34.58,-58.37,
Mar 28, 08:58:33,-4.9,46°,352° (N),Iridium 81,8 km (W),-8.0,-14°,Buenos Aires,Argentina,-34.58,-58.37,
Mar 23, 20:14:34,-1.2,42°,11° (NNE),Iridium 70,25 km (E),-7.9,-14°,Dakar,Senegal,14.67,-17.47,
Mar 24, 06:42:50,-1.6,43°,10° (N),Iridium 81,22 km (W),-7.8,-8°,Dakar,Senegal,14.67,-17.47,
